a,7328,-3164,-436,557,-1240,-19027
a,-24960,2200,4684,-4306,4897,-9755
a,-1264,-1072,-1152,-5192,-1452,-29363
a,-8472,2388,-2412,-4744,-1312,-32768
b,-21180,28272,11940,6857,-15791,32767
b,-14268,29092,5668,13176,17822,32767
b,-6624,21164,8968,15362,-16424,32767
b,592,22880,5964,32767,-5917,32767
b,-8168,15464,6128,26710,-27518,32767
b,1288,16828,4060,29373,-23235,32767
b,-5744,23776,6732,23025,-26354,32767
b,13788,22704,3300,32767,-32768,32767
b,224,18336,4056,32767,-32225,32767
b,868,29112,8888,28354,-24270,32767
c,-17016,30496,9456,32767,-22388,973
c,-12024,25268,-7256,32767,-18177,6494
c,-11288,26540,1192,32767,-23803,11858
c,-12548,20376,-8928,32767,-17063,-3350
c,-12008,17964,-11376,32767,-14574,-3838
c,-16168,15992,-13880,32767,-5500,-3934
c,-15412,9144,-10676,32767,-5918,-14010
c,-16284,24988,1472,32767,-18062,-8560
c,-13876,10616,-21624,32767,-11033,-3063
c,-10956,20940,-6972,32767,-17430,3998
d,-9776,10904,8476,-32768,15738,-569
d,-9684,2384,-8764,-32768,19096,12315
d,-3800,6396,-4572,-32768,12278,12341
d,-10968,12628,11200,-32768,-85,6667
d,-5156,17884,-2972,-32768,7806,5885
d,-14012,13240,1280,-32768,4208,13499
d,-7696,108,-20520,-32768,11257,14712
d,-9440,-3256,-23428,-32768,21897,18231
d,-8628,9884,-11204,-32768,21529,22186
d,-15048,7336,-17088,-32768,16922,17200
a,-7016,-2936,-2664,610,-4136,-19840
a,-3764,-5360,-384,2199,-3517,-11231
a,-5076,-2676,-980,828,-2764,-9735
a,-10668,-1196,-1832,862,-2637,-15785
a,-9856,1252,-1104,1785,-21,-25402
a,-4056,-4672,-1772,3247,-1318,-18095
a,-8220,-2072,-1912,4984,1857,-24027
a,-2424,-7800,-812,3228,-811,-12096
a,-2064,-7844,-1180,1855,-971,-11812
a,-3180,-6024,-2112,2612,-2083,-18469
b,-12852,8028,648,-2420,-7680,25767
b,-12956,10848,-892,-2749,-4479,16331
b,-21016,15104,1328,-2760,-927,15550
b,-16760,12704,-1596,-2961,-1812,17938
b,-13348,10424,908,-3042,-4198,15603
b,-17504,3088,788,-2380,2467,18903
b,-15432,5720,588,-601,-1170,21451
b,-13792,11908,476,-2991,-4677,21203
b,-13088,12584,-1144,-1902,160,22487
b,-15032,7548,316,-1319,-119,19477
c,-16592,6452,6380,31769,-2356,-326
c,-16044,5088,11324,16682,-2880,-1437
c,-13708,2692,6804,14166,1598,-555
c,-15980,1948,7156,5044,1447,1190
c,-17848,132,5420,5983,2230,968
c,-13504,2048,9592,11517,-2657,-406
c,-15504,692,7964,844,4867,-293
c,-15512,1576,6036,15049,-2064,-1009
c,-11372,2312,9456,8487,-564,-46
c,-18588,5688,11856,23101,-9533,-2206
d,-13328,976,-8760,-24603,9045,-852
d,-16460,1860,-4556,-29350,7954,-1500
d,-15400,3068,-10152,-20034,1499,-1195
d,-10236,484,-5700,-27947,12459,1617
d,-15044,1524,-11044,-23204,980,-374
d,-17436,56,-13144,-26636,9837,64
d,-14132,1656,-13560,-13230,1495,-1980
d,-14652,3672,-6068,-22961,1088,-3760
d,-13992,2312,-6376,-21051,374,-3326
d,-15064,3580,-11804,-26248,12318,1982
a,-20412,4756,4440,6126,8923,-32768
a,-18504,8276,2996,4180,18180,-32768
a,-21268,12580,6548,915,18305,-32768
a,-22804,9120,6224,1278,24304,-32768
a,-26972,11620,2416,5376,28667,-32768
a,-17452,8784,4204,2751,17130,-32768
a,-32768,17464,7548,6185,23019,-32768
a,-32224,13600,7812,3204,20335,-23128
a,-29716,13208,5768,4132,21064,-32768
a,-29388,12564,2572,7029,25713,-32768
b,-4100,220,2528,11881,-1411,32068
b,-5452,12040,3112,20016,8894,32767
b,6576,-972,-3660,10490,-1608,29912
b,-2004,-5488,-476,6911,-2733,13999
b,3792,9008,3700,20688,3091,32767
b,-444,3192,-860,15857,-3213,30846
b,280,-2604,-608,5154,-2921,10914
b,-7376,936,-2000,22495,10719,32767
b,-20380,15428,11172,17096,952,32767
b,348,-1900,-4540,13065,-3161,22561
c,-26312,-1848,-22048,32767,12577,-12353
c,-20864,636,-14920,32767,5997,-14517
c,-18508,6892,-9336,32767,5418,-16929
c,-20212,7868,-4252,32767,7294,-15847
c,-19424,7416,-6176,32767,8035,-16516
c,-13468,-2180,7128,-1744,-1647,-992
c,-21912,6248,-5884,32767,6714,-16038
c,-19156,4716,3632,32767,3155,-20683
c,-14740,1796,-560,32767,3657,-18607
c,-22528,7220,-6308,32767,5457,-16878
d,-15556,1136,9260,-32768,10059,4428
d,-12848,2460,16556,-32768,11689,7194
d,-9032,1080,12208,-27780,16318,10583
d,-12992,-1704,20332,-16222,6770,531
d,-10212,2012,8956,-32768,16841,12147
d,-22176,2484,6080,-28090,5680,4855
d,-12396,-1760,8300,-31971,15355,8667
d,-13564,888,14920,-29260,17630,9076
d,-9968,-5244,20348,-23474,8341,5083
d,-9684,-376,19844,-28139,6571,6120
