-12,-2196,16068,-20,821,-214
-8,-2244,15744,10,820,-261
92,-2208,15788,50,968,-218
-104,-2216,16000,51,929,-221
-76,-2040,15840,52,812,-305
-52,-2112,15720,101,792,-324
-64,-2204,15860,148,729,-329
-100,-2072,15776,142,612,-364
44,-2136,15892,196,550,-353
72,-1944,15912,266,326,-318
124,-2044,15972,360,71,-259
172,-1968,15768,464,-248,-100
220,-2128,15784,559,-353,12
248,-2272,15536,605,-110,112
28,-2384,15624,630,373,153
-192,-2068,15948,615,644,92
-292,-2096,16332,568,478,59
-332,-2060,16220,473,62,-42
-184,-2076,16132,441,-68,-85
12,-1912,16108,374,-95,-101
148,-1748,16140,302,-152,-59
-100,-1888,16224,282,-345,-14
116,-2196,15792,237,-356,70
124,-2072,15668,320,9,97
60,-1924,15752,347,187,100
-84,-1988,16028,319,41,115
-12,-1928,16076,288,-134,106
164,-2004,15924,270,-127,155
32,-1984,15928,269,31,203
80,-2012,15804,233,89,246
-56,-2024,15948,267,176,242
-44,-2252,16012,278,118,166
-224,-2084,15952,302,-16,90
40,-2084,15928,334,-51,33
144,-2108,15868,345,97,20
108,-2032,15844,361,246,11
-52,-2148,15752,350,334,93
-12,-1960,15904,365,250,111
-80,-2008,15860,363,43,108
-56,-2084,15768,405,32,141
52,-2072,15880,416,145,124
4,-1960,15996,457,364,119
-152,-2044,16048,473,309,105
-128,-1840,16196,450,134,92
-104,-1876,16040,418,-48,63
-16,-1796,16080,390,-101,78
-76,-1748,15952,336,-277,110
-4,-1800,15952,252,-317,163
-96,-1876,15808,204,-126,165
-16,-1796,15996,144,72,146
-160,-1776,16184,107,67,111
-260,-1912,15996,80,-85,55
-112,-1956,16060,113,-244,14
-36,-2032,16072,175,-360,-16
-4,-2092,15896,210,-348,-20
92,-2040,15948,169,-182,-12
32,-2272,15872,126,69,-50
32,-2016,15768,83,322,-105
-108,-2040,16088,76,342,-141
-56,-1920,16060,32,133,-159
100,-1824,16112,21,-116,-128
208,-1912,15880,18,-223,-62
76,-1812,15916,62,-175,27
208,-2036,15760,86,-171,37
92,-2248,15724,147,91,38
152,-2084,15732,213,385,-7
-200,-2036,16020,229,465,-78
32,-1960,16312,230,254,-117
64,-1832,15988,212,76,-89
164,-1848,16048,203,-112,-19
176,-1788,15956,158,-150,25
188,-1872,15900,115,-131,123
76,-1976,15848,61,33,169
-32,-1928,15672,65,200,133
-60,-1912,15988,86,268,45
-88,-1992,16132,115,84,32
92,-1988,15932,129,46,62
192,-1936,15848,166,166,84
68,-1976,15800,166,288,71
0,-1980,15992,140,226,83
-32,-1852,15936,88,50,83
-4,-1952,15840,66,-57,71
-24,-1996,15880,88,-21,30
96,-1976,15772,109,114,37
188,-1924,15948,160,207,29
32,-1908,15968,155,206,22
16,-1936,16000,179,102,30
-36,-1860,15964,202,37,20
24,-1840,15984,258,-61,6
52,-1988,15932,253,-133,18
0,-2096,15820,259,32,16
68,-2032,15816,261,250,-36
20,-1984,15840,232,354,-22
-116,-1868,16016,183,239,-52
24,-1840,16208,188,1,-48
216,-1716,15992,211,-90,-56
184,-1864,15812,238,-145,0
156,-1816,15880,251,-188,61
220,-1840,15976,241,-274,109
132,-1908,15872,221,-357,171
128,-1916,15736,201,-437,211
188,-1996,15780,162,-192,201
104,-2184,15668,140,162,250
16,-1932,15956,109,282,217
-132,-1776,16028,128,42,179
-44,-1896,16076,130,-359,138
-84,-1916,16016,218,-489,147
-52,-1708,16232,281,-686,209
200,-2008,15720,213,-433,-20
216,-1972,15856,294,67,-2
-36,-1924,15988,209,128,-67
-72,-1924,16060,172,104,-86
